Year,Control Words,Sentence With Control Words,Context Words
1980,衣服,1,"['工作', '忙', '时', '通信员', '主动', '帮助', '他们', '洗', '几件', '是', '平常', '的', '事']"
1980,衣服,2,"['从此', '孩子', '的', '破', '了', '她', '给', '缝补', '好', '脏', '了', '孩子', '的', '破', '了', '她', '给', '缝补', '好', '脏', '了', '她', '给', '洗', '干净']"
1980,衣服,3,"['她', '指着', '口袋', '里']"
1980,衣服,4,"['老', '阿妈', '脏', '了', '有人', '洗', '被子', '脏', '了', '有人', '拆']"
1980,衣服,5,"['他', '平时', '居家', '俭约', '器用', '饮食', '虽贵', '如初', '宦时']"
1980,衣服,6,"['了', '突然', '解开', '怀', '原来', '就', '在', '她', '的', '里', '严严', '地', '揣', '了', '两大本', '手抄本', '递给', '我']"
1980,衣服,7,"['终点', '时', '狼狈不堪', '脸上', '因为', '摔跤', '而', '布满', '血迹', '也', '被', '撕破']"
1980,衣服,8,"['了', '洗衣房', '烘干', '室', '缝纫', '组', '上井后', '把', '脏', '一交', '第二天', '上班', '就', '能', '穿', '上', '干净', '舒适', '第二天', '上班', '就', '能', '穿', '上', '干净', '舒适', '的', '单身汉', '再也', '不愁', '洗补', '难', '了', '上', '干净', '舒适', '的', '单身汉', '再也', '不愁', '洗补', '难', '了']"
1980,衣服,9,"['战士', '们', '毫不犹豫', '地', '给', '我', '换洗', '垫单']"
1980,衣服,10,"['这', '条', '街上', '办起', '了', '洗衣店', '谁', '有脏', '脏', '被子', '等', '都', '可', '送到', '那里', '去', '洗']"
1980,衣服,11,"['出于', '对', '的', '喜爱', '我', '很', '想', '知道', '它', '的', '产地']"
1980,衣服,12,"['上', '经常', '开天窗', '商品', '极', '不', '齐全', '不仅', '布', '针织品', '等', '不足', '甚至', '有时', '连', '糖果', '饼干', '酱油']"
1980,衣服,13,"['阿布力', '米', '提', '随即', '脱', '下', '自己', '的', '给', '李军', '披上', '并', '把', '他', '抱', '在', '怀里']"
1980,衣服,14,"['这', '以后', '给', '女方', '买']"
1980,衣服,15,"['他', '说', '能', '御寒', '就行', '不必', '换', '新', '的', '了']"
1980,衣服,16,"['听到', '叫声', '顾不得', '带', '的', '手表', '和', '身上', '的', '迅速', '跑', '过去', '毫不犹豫', '地', '跳进', '粪池']"
1980,衣服,17,"['得知', '四厂', '失火', '就', '叫', '他', '他', '穿', '上', '飞步', '赶到', '火场', '一', '气儿', '干到', '六点']"
1980,衣服,18,"['老挝', '的', '生活必需品', '包括', '大米', '食品', '建筑材料', '和', '汽油', '都', '是从', '泰国', '运去', '的']"
1980,衣服,19,"['求友', '到', '北京', '上海', '等', '内地', '去', '买', '这类', '了']"
1980,衣服,20,"['如果', '使用', '得当', '一件', '人造棉', '穿', '上', '几年', '是', '没', '问题', '的']"
